Labels,text_en
FALSE,Monterrey person dies coronavirus
MOSTLY FALSE,[The coronavirus is] “new” yet it was lab-created and patented in 2015
FALSE,Drinking saline solution can protect you from coronavirus that broke out in Wuhan
FALSE,The CDC created and patented the coronavirus from Wuhan
FALSE,"“The new fad disease called the ‘coronavirus’ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.”"
MOSTLY FALSE,coronavirus is not a new virus
MOSTLY FALSE,The Coronavirus is patented by the US
MOSTLY FALSE,Coronavirus hits 15% fatality rate
FALSE,"Trader ""the gap"" in Medellin have symptoms of Coronavirus"
MOSTLY FALSE,Photos are claimed as a photograph passengers who died in Terminal 3 of Soekarno-Hatta for the Corona virus
FALSE,The market originated in China where the coronavirus
FALSE,"Coronavirus: 112,000 dead, 2.8 million infected and 30 million quarantined"
FALSE,"*** THE TRUTH THAT HIDES CHINA: (Edition and translation of Sandra Valeria link) coronavirus in China: over 30 million quarantined, infected 2.8 million; 112,000 DEAD! People falling dead in the streets and trains! Supermarkets no groceries! - Hal Turner Radio Program"
FALSE,The coronavirus Wuhan was created and patented
FALSE,Market in Wuhan where coronavirus originated
FALSE,“[A]uthorities have identified that the international chemical-warfare terrorist ‘Samuel Whitcomb Hyde’ is behind the deadly China ‘coronavirus.'”
FALSE,"“CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.”"
FALSE,The coronavirus happening in China was invented in the laboratory and a patent exists on this virus
MOSTLY FALSE,Israeli expert Dany Shoham coronavirus linked to biological weapons
MOSTLY FALSE,"Wish.com ships all products from Wuhan, China, and Wish.com products might cause you to contract coronavirus."
FALSE,Doctor dies of the coronavirus in hospital in wuhan.
FALSE,"This video shows the Wuhan market, which would have emerged the new coronavirus"
FALSE,"CLAIM: Photographs, which improves the coronavirus vaccine in the United States shows Turkish doctor."
FALSE,A case of coronavirus in a clinic in Agen
MOSTLY FALSE,"There are patents on the current coronavirus, among others Bill Gates has one and he has also predicted the outbreak."
FALSE,This patent proves that the US government created the coronavirus which currently affects China
FALSE,Drinking saline solution can protect you from coronavirus that broke out in Wuhan
FALSE,CLAIM: Photo shows a person's arm carrying coronaviruses.
FALSE,Avoid ice cream and cold drinks for 90 days to avoid Coronavirus
FALSE,CLAIM: Grape Vinegar sees the antidote to function against coronaviruses.
FALSE,The market in China where the coronavirus appeared
FALSE,Video Shows Effects Of Coronavirus
FALSE,"Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon."""
FALSE,"Says the Chinese Communist Party ""will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs."""
FALSE,"“A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility."""
FALSE,Ministry of Healths emergency notification to public for coronavirus
FALSE,"Alert coronavirus in Madrid, Valencia and Barcelona"
FALSE,"A post seeks to link a Saudi Arabian MERS vaccine study to the current coronavirus outbreak that originated in Wuhan, China."
MOSTLY FALSE,[ONE] Air Stew Garlic Cure Corona Virus
FALSE,Coronavirus: video market Wuhan
MOSTLY FALSE,Patients infected with 2019-nCoV Corona virus can be cured by drinking boiled water garlic
MOSTLY FALSE,[ONE] Tadpoles fed Correlation Video Children Living with Corona Virus
FALSE,"There are reports of more than 10,000 dead in Wuhan because of the Coronavirus"
FALSE,Coronavirus was created by the US CDC Patent
FALSE,CLAIM: I already know the sequence of The Simpsons is the coronavirus outbreak in China.
FALSE,CLAIM: coronavirus told Venom movie shot in 2018.
FALSE,Left - The symbol of the company where the coronavirus is expressed. Right - Umbrella Corporation in Resident Evil with the damn virus 'C' which spread Racoon City. And 'Racoon' is an anagram of CORONA. What world!
FALSE,Patient medical coronavirus bit jugular in the United States
FALSE,"A street scene in ""China Now"""
TRUE,Healthy Ministry has issued an advisory to the security of coronavirus
FALSE,“BILL AND MELINDA GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS VIA CORONAVIRUS — IN SIMULATION RAN 3 MONTHS AGO!”
MOSTLY FALSE,The coronavirus is the US Patent
