url,text_contentDate,claimDate,Y,publisher.name,text_en,claimant_en
https://www.animalpolitico.com/elsabueso/es-falso-que-en-mexico-ya-se-tenga-confirmada-una-muerte-por-el-nuevo-coronavirus/,22-01-2020,22-01-2020,FALSE,Animal Político,Monterrey person dies coronavirus,
https://healthfeedback.org/claimreview/contrary-to-claims-in-viral-social-media-posts-wuhan-coronavirus-was-not-lab-created-nor-was-it-patented-years-before-outbreak/,23-01-2020,24-01-2020,MOSTLY FALSE,Health Feedback,[The coronavirus is] “new” yet it was lab-created and patented in 2015,"chris kirckof, jordan sather"
https://factual.afp.com/ar/node/7770,24-01-2020,22-01-2021,FALSE,AFP Factual,Drinking saline solution can protect you from coronavirus that broke out in Wuhan,multiple sources
https://factcheck.afp.com/coronavirus-plaguing-china-was-not-created-us-government-agency,24-01-2020,22-01-2020,FALSE,AFP Fact Check,The CDC created and patented the coronavirus from Wuhan,chris kirckof
https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory/,24-01-2020,21-01-2020,FALSE,FactCheck.org,"“The new fad disease called the ‘coronavirus’ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.”",social media posts
https://healthfeedback.org/claimreview/the-2019-coronavirus-outbreak-is-caused-by-a-novel-virus-past-mentions-of-coronaviruses-refer-to-different-strains/,24-01-2020,02-04-2020,MOSTLY FALSE,Health Feedback,coronavirus is not a new virus,anonymous
https://www.boomlive.in/health/coronavirus-patented-why-social-media-posts-are-misleading-6661,25-01-2020,25-01-2020,MOSTLY FALSE,BOOM,The Coronavirus is patented by the US,social media
https://healthfeedback.org/claimreview/15-fatality-rate-from-coronavirus-2019-ncov-infection-was-based-only-on-initial-cases-actual-rate-closer-to-3-mike-adams-natural-news/,25-01-2020,25-01-2020,MOSTLY FALSE,Health Feedback,Coronavirus hits 15% fatality rate,mike adams
https://colombiacheck.com/chequeos/no-comerciante-de-el-hueco-no-esta-internado-en-hospital-de-medellin-con-sintomas-del,26-01-2020,,FALSE,ColombiaCheck,"Trader ""the gap"" in Medellin have symptoms of Coronavirus",
https://cekfakta.tempo.co/fakta/580/fakta-atau-hoaks-benarkah-ada-penumpang-yang-meninggal-karena-virus-corona-di-bandara-soekarno-hatta,27-01-2020,27-01-2020,MOSTLY FALSE,Cek Fakta Tempo.co,Photos are claimed as a photograph passengers who died in Terminal 3 of Soekarno-Hatta for the Corona virus,circulating on twitter
https://factual.afp.com/el-mercado-del-video-esta-en-indonesia-no-en-china-donde-se-origino-la-nueva-cepa-del-virus,27-01-2020,26-01-2020,FALSE,AFP Factual,The market originated in China where the coronavirus,multiple sources
https://politica.estadao.com.br/blogs/estadao-verifica/radialista-dos-eua-espalha-desinformacao-sobre-coronavirus-e-boatos-ja-circulam-em-portugues/,27-01-2020,27-01-2020,FALSE,Política - Estadão,"Coronavirus: 112,000 dead, 2.8 million infected and 30 million quarantined",it turner
https://piaui.folha.uol.com.br/lupa/2020/01/27/verificamos-coronavirus-infectou-28-milhoes-matou-112-mil-china/,27-01-2020,27-01-2020,FALSE,Uol,"*** THE TRUTH THAT HIDES CHINA: (Edition and translation of Sandra Valeria link) coronavirus in China: over 30 million quarantined, infected 2.8 million; 112,000 DEAD! People falling dead in the streets and trains! Supermarkets no groceries! - Hal Turner Radio Program",post no facebook
https://factuel.afp.com/non-le-coronavirus-detecte-en-chine-na-pas-ete-cree-en-laboratoire-puis-brevete,27-01-2020,25-01-2020,FALSE,AFP Factuel,The coronavirus Wuhan was created and patented,mady aïssata merine
